lambda_in (m),xabs1,xabs2,xabs3,xabs4
0.000000845,1.0529E-23,1.0542E-23,2.9669E-25,3.3075E-25
0.00000085,9.8735E-24,9.887E-24,2.8877E-25,3.2197E-25
0.000000855,9.275E-24,9.2888E-24,2.8113E-25,3.1349E-25
0.00000086,8.7295E-24,8.7437E-24,2.7381E-25,3.0537E-25
0.000000865,8.23E-24,8.2444E-24,2.6684E-25,2.9761E-25
0.00000087,7.7765E-24,7.791E-24,2.6022E-25,2.9023E-25
0.000000875,7.3625E-24,7.3772E-24,2.5397E-25,2.8325E-25
0.00000088,6.9856E-24,7.0004E-24,2.4812E-25,2.7669E-25
0.000000885,6.6427E-24,6.6576E-24,2.4267E-25,2.7054E-25
0.00000089,6.3312E-24,6.3461E-24,2.3762E-25,2.6483E-25
0.000000895,6.0492E-24,6.064E-24,2.3304E-25,2.5961E-25
0.0000009,5.8E-24,5.8148E-24,2.2911E-25,2.5506E-25
0.000000905,5.5777E-24,5.5925E-24,2.2577E-25,2.5113E-25
0.00000091,5.3788E-24,5.3935E-24,2.2294E-25,2.4772E-25
0.000000915,5.2E-24,5.2147E-24,2.2052E-25,2.4475E-25
0.00000092,5.0375E-24,5.0522E-24,2.1845E-25,2.4214E-25
0.000000925,4.8897E-24,4.9042E-24,2.1667E-25,2.3984E-25
0.00000093,4.7531E-24,4.7676E-24,2.1511E-25,2.3778E-25
0.000000935,4.6262E-24,4.6406E-24,2.1372E-25,2.3589E-25
0.00000094,4.5073E-24,4.5215E-24,2.1245E-25,2.3415E-25
0.000000945,4.395E-24,4.4091E-24,2.1125E-25,2.3249E-25
0.00000095,4.2878E-24,4.3017E-24,2.1008E-25,2.3087E-25
0.000000955,4.1845E-24,4.1983E-24,2.089E-25,2.2926E-25
0.00000096,4.0846E-24,4.0983E-24,2.0768E-25,2.2761E-25
0.000000965,3.9865E-24,4.0001E-24,2.0638E-25,2.259E-25
0.00000097,3.8903E-24,3.9037E-24,2.0498E-25,2.241E-25
0.000000975,3.7945E-24,3.8077E-24,2.0344E-25,2.2217E-25
0.00000098,3.6995E-24,3.7125E-24,2.0174E-25,2.2009E-25
0.000000985,3.604E-24,3.6168E-24,1.9988E-25,2.1785E-25
0.00000099,3.5107E-24,3.5234E-24,1.9793E-25,2.1554E-25
0.000000995,3.4198E-24,3.4322E-24,1.9596E-25,2.1322E-25
0.000001,3.3316E-24,3.3439E-24,1.9399E-25,2.109E-25
