lambda_in (m),xabs1,xabs2,xabs3,xabs4
0.00000082,9.6168E-24,9.524E-24,4.5971E-25,4.7583E-25
0.000000825,9.3012E-24,9.2138E-24,4.4758E-25,4.6376E-25
0.00000083,8.9868E-24,8.9046E-24,4.3561E-25,4.5182E-25
0.000000835,8.6765E-24,8.5991E-24,4.238E-25,4.4E-25
0.00000084,8.3717E-24,8.2989E-24,4.1227E-25,4.2842E-25
0.000000845,8.0737E-24,8.0053E-24,4.0104E-25,4.1713E-25
0.00000085,7.785E-24,7.7207E-24,3.9019E-25,4.0619E-25
0.000000855,7.506E-24,7.4455E-24,3.7972E-25,3.9561E-25
0.00000086,7.2382E-24,7.1813E-24,3.697E-25,3.8546E-25
0.000000865,6.981E-24,6.9275E-24,3.6014E-25,3.7576E-25
0.00000087,6.7371E-24,6.6869E-24,3.5106E-25,3.6653E-25
0.000000875,6.5055E-24,6.4583E-24,3.4248E-25,3.5779E-25
0.00000088,6.2869E-24,6.2425E-24,3.3444E-25,3.4957E-25
0.000000885,6.0814E-24,6.0396E-24,3.2692E-25,3.4188E-25
0.00000089,5.8891E-24,5.8498E-24,3.1995E-25,3.3473E-25
0.000000895,5.7107E-24,5.6737E-24,3.136E-25,3.282E-25
0.0000009,5.5507E-24,5.5159E-24,3.0811E-25,3.2253E-25
0.000000905,5.4061E-24,5.3734E-24,3.0341E-25,3.1764E-25
0.00000091,5.2752E-24,5.2444E-24,2.9936E-25,3.1341E-25
0.000000915,5.1562E-24,5.1273E-24,2.9587E-25,3.0974E-25
0.00000092,5.0468E-24,5.0196E-24,2.9285E-25,3.0653E-25
0.000000925,4.946E-24,4.9204E-24,2.9021E-25,3.0371E-25
0.00000093,4.8516E-24,4.8276E-24,2.8786E-25,3.0118E-25
0.000000935,4.7627E-24,4.7401E-24,2.8574E-25,2.9888E-25
0.00000094,4.6779E-24,4.6567E-24,2.8379E-25,2.9674E-25
0.000000945,4.5965E-24,4.5766E-24,2.8193E-25,2.9471E-25
0.00000095,4.5173E-24,4.4986E-24,2.8012E-25,2.9271E-25
0.000000955,4.4395E-24,4.4219E-24,2.783E-25,2.9072E-25
0.00000096,4.3626E-24,4.3461E-24,2.7644E-25,2.8868E-25
0.000000965,4.2854E-24,4.2699E-24,2.7447E-25,2.8654E-25
0.00000097,4.208E-24,4.1934E-24,2.7239E-25,2.8428E-25
0.000000975,4.1293E-24,4.1155E-24,2.7013E-25,2.8184E-25
0.00000098,4.0493E-24,4.0365E-24,2.6767E-25,2.7921E-25
0.000000985,3.9673E-24,3.9552E-24,2.65E-25,2.7636E-25
0.00000099,3.8858E-24,3.8744E-24,2.6223E-25,2.7342E-25
0.000000995,3.8052E-24,3.7945E-24,2.5943E-25,2.7045E-25
0.000001,3.726E-24,3.716E-24,2.5663E-25,2.6749E-25
