lambda_in (m),xabs1,xabs2,xabs3,xabs4
0.00000082,1.5397E-23,1.5425E-23,3.3718E-25,3.7809E-25
0.000000825,1.4287E-23,1.4314E-23,3.2845E-25,3.6827E-25
0.00000083,1.3279E-23,1.3306E-23,3.1981E-25,3.5857E-25
0.000000835,1.2365E-23,1.2391E-23,3.1127E-25,3.4901E-25
0.00000084,1.1534E-23,1.156E-23,3.0292E-25,3.3966E-25
0.000000845,1.0777E-23,1.0802E-23,2.9479E-25,3.3057E-25
0.00000085,1.0089E-23,1.0115E-23,2.8692E-25,3.2176E-25
0.000000855,9.4637E-24,9.4883E-24,2.7933E-25,3.1327E-25
0.00000086,8.8951E-24,8.9192E-24,2.7207E-25,3.0513E-25
0.000000865,8.3757E-24,8.3994E-24,2.6514E-25,2.9735E-25
0.00000087,7.9052E-24,7.9284E-24,2.5856E-25,2.8996E-25
0.000000875,7.4767E-24,7.4995E-24,2.5236E-25,2.8297E-25
0.00000088,7.0873E-24,7.1097E-24,2.4655E-25,2.764E-25
0.000000885,6.7336E-24,6.7556E-24,2.4113E-25,2.7024E-25
0.00000089,6.4129E-24,6.4344E-24,2.3612E-25,2.6452E-25
0.000000895,6.1229E-24,6.144E-24,2.3157E-25,2.5929E-25
0.0000009,5.867E-24,5.8877E-24,2.2767E-25,2.5473E-25
0.000000905,5.6389E-24,5.6593E-24,2.2436E-25,2.5079E-25
0.00000091,5.4351E-24,5.4551E-24,2.2155E-25,2.4736E-25
0.000000915,5.2521E-24,5.2718E-24,2.1915E-25,2.4438E-25
0.00000092,5.0858E-24,5.1052E-24,2.1711E-25,2.4176E-25
0.000000925,4.9347E-24,4.9538E-24,2.1535E-25,2.3945E-25
0.00000093,4.7952E-24,4.814E-24,2.138E-25,2.3737E-25
0.000000935,4.6657E-24,4.6841E-24,2.1243E-25,2.3547E-25
0.00000094,4.5444E-24,4.5625E-24,2.1117E-25,2.3372E-25
0.000000945,4.4299E-24,4.4477E-24,2.0999E-25,2.3205E-25
0.00000095,4.3207E-24,4.3382E-24,2.0883E-25,2.3041E-25
0.000000955,4.2155E-24,4.2327E-24,2.0766E-25,2.2879E-25
0.00000096,4.1138E-24,4.1307E-24,2.0646E-25,2.2714E-25
0.000000965,4.0141E-24,4.0307E-24,2.0517E-25,2.2541E-25
0.00000097,3.9163E-24,3.9326E-24,2.0378E-25,2.236E-25
0.000000975,3.8189E-24,3.835E-24,2.0226E-25,2.2167E-25
0.00000098,3.7224E-24,3.7381E-24,2.0057E-25,2.1958E-25
0.000000985,3.6255E-24,3.6409E-24,1.9872E-25,2.1734E-25
0.00000099,3.5308E-24,3.5459E-24,1.9679E-25,2.1502E-25
0.000000995,3.4386E-24,3.4534E-24,1.9483E-25,2.1269E-25
0.000001,3.3492E-24,3.3638E-24,1.9287E-25,2.1037E-25
