lambda_in (m),xabs1,xabs2,xabs3,xabs4
0.00000082,8.296E-23,8.3224E-23,1.5044E-24,1.6488E-24
0.000000825,8.8352E-23,8.8614E-23,1.4634E-24,1.604E-24
0.00000083,9.4262E-23,9.4522E-23,1.422E-24,1.5589E-24
0.000000835,1.0071E-22,1.0097E-22,1.3833E-24,1.5166E-24
0.00000084,1.0784E-22,1.081E-22,1.3452E-24,1.475E-24
0.000000845,1.1574E-22,1.1599E-22,1.3068E-24,1.4332E-24
0.00000085,1.2449E-22,1.2474E-22,1.2706E-24,1.3937E-24
0.000000855,1.3419E-22,1.3445E-22,1.237E-24,1.357E-24
0.00000086,1.4515E-22,1.4541E-22,1.2038E-24,1.3207E-24
0.000000865,1.5746E-22,1.5773E-22,1.173E-24,1.287E-24
0.00000087,1.7137E-22,1.7164E-22,1.1435E-24,1.2547E-24
0.000000875,1.8716E-22,1.8743E-22,1.1155E-24,1.2239E-24
0.00000088,2.0513E-22,2.0541E-22,1.0892E-24,1.195E-24
0.000000885,2.2572E-22,2.2601E-22,1.064E-24,1.1672E-24
0.00000089,2.4959E-22,2.4988E-22,1.042E-24,1.1427E-24
0.000000895,2.7718E-22,2.7748E-22,1.0198E-24,1.1181E-24
0.0000009,3.0944E-22,3.0976E-22,1.0014E-24,1.0974E-24
0.000000905,3.4736E-22,3.477E-22,9.8681E-25,1.0806E-24
0.00000091,3.9234E-22,3.9269E-22,9.7463E-25,1.0663E-24
0.000000915,4.4622E-22,4.466E-22,9.6191E-25,1.0514E-24
0.00000092,5.1039E-22,5.108E-22,9.5329E-25,1.0408E-24
0.000000925,5.8787E-22,5.8831E-22,9.4554E-25,1.0311E-24
0.00000093,6.8176E-22,6.8224E-22,9.3783E-25,1.0215E-24
0.000000935,7.9485E-22,7.9537E-22,9.3082E-25,1.0127E-24
0.00000094,9.3368E-22,9.3426E-22,9.259E-25,1.006E-24
0.000000945,1.1022E-21,1.1028E-21,9.2001E-25,9.9838E-25
0.00000095,1.3094E-21,1.3102E-21,9.1411E-25,9.908E-25
0.000000955,1.5616E-21,1.5625E-21,9.0808E-25,9.8314E-25
0.00000096,1.8592E-21,1.8601E-21,9.0252E-25,9.7601E-25
0.000000965,2.1991E-21,2.2002E-21,8.9639E-25,9.6834E-25
0.00000097,2.5684E-21,2.5696E-21,8.9079E-25,9.6126E-25
0.000000975,2.9226E-21,2.9239E-21,8.8368E-25,9.527E-25
0.00000098,3.1961E-21,3.1973E-21,8.7505E-25,9.4264E-25
0.000000985,3.3246E-21,3.326E-21,8.6814E-25,9.3437E-25
0.00000099,3.2661E-21,3.2673E-21,8.6023E-25,9.2513E-25
0.000000995,3.0412E-21,3.0423E-21,8.5082E-25,9.1441E-25
0.000001,2.7101E-21,2.711E-21,8.4157E-25,9.039E-25
