lambda_in (m),40-10,40-11,40-12,40-13
0.00000082,3.5574E-22,3.563E-22,1.1237E-24,1.2229E-24
0.000000825,4.2147E-22,4.2208E-22,1.0911E-24,1.1877E-24
0.00000083,5.0663E-22,5.073E-22,1.0597E-24,1.1537E-24
0.000000835,6.1696E-22,6.177E-22,1.0295E-24,1.121E-24
0.00000084,7.6372E-22,7.6457E-22,9.9963E-25,1.0888E-24
0.000000845,9.5674E-22,9.5772E-22,9.717E-25,1.0586E-24
0.00000085,1.2151E-21,1.2163E-21,9.4368E-25,1.0283E-24
0.000000855,1.5478E-21,1.5491E-21,9.1931E-25,1.0018E-24
0.00000086,1.9461E-21,1.9477E-21,8.9199E-25,9.7234E-25
0.000000865,2.3465E-21,2.3483E-21,8.6739E-25,9.4571E-25
0.00000087,2.6154E-21,2.6172E-21,8.453E-25,9.2166E-25
0.000000875,2.611E-21,2.6127E-21,8.2451E-25,8.9897E-25
0.00000088,2.3428E-21,2.3442E-21,8.0409E-25,8.7672E-25
0.000000885,1.9474E-21,1.9485E-21,7.8559E-25,8.5644E-25
0.00000089,1.5619E-21,1.5627E-21,7.6835E-25,8.3751E-25
0.000000895,1.2373E-21,1.238E-21,7.5267E-25,8.2017E-25
0.0000009,9.8864E-22,9.8912E-22,7.3824E-25,8.0414E-25
0.000000905,7.9788E-22,7.9825E-22,7.2611E-25,7.9048E-25
0.00000091,6.5517E-22,6.5547E-22,7.1613E-25,7.7902E-25
0.000000915,5.4658E-22,5.4683E-22,7.0758E-25,7.6904E-25
0.00000092,4.6321E-22,4.6341E-22,7.0086E-25,7.6094E-25
0.000000925,3.9704E-22,3.9722E-22,6.93E-25,7.5174E-25
0.00000093,3.4492E-22,3.4507E-22,6.8817E-25,7.4562E-25
0.000000935,3.0258E-22,3.027E-22,6.8182E-25,7.3799E-25
0.00000094,2.6743E-22,2.6754E-22,6.7771E-25,7.3267E-25
0.000000945,2.3846E-22,2.3856E-22,6.7269E-25,7.2646E-25
0.00000095,2.1412E-22,2.1421E-22,6.6881E-25,7.2145E-25
0.000000955,1.936E-22,1.9368E-22,6.6372E-25,7.1523E-25
0.00000096,1.7574E-22,1.7581E-22,6.5971E-25,7.1014E-25
0.000000965,1.6028E-22,1.6035E-22,6.5453E-25,7.0391E-25
0.00000097,1.4675E-22,1.4682E-22,6.496E-25,6.9795E-25
0.000000975,1.3462E-22,1.3468E-22,6.44E-25,6.9136E-25
0.00000098,1.2399E-22,1.2404E-22,6.3809E-25,6.8448E-25
0.000000985,1.1451E-22,1.1456E-22,6.323E-25,6.7773E-25
0.00000099,1.0592E-22,1.0597E-22,6.2527E-25,6.6978E-25
0.000000995,9.8302E-23,9.8349E-23,6.1842E-25,6.6203E-25
0.000001,9.1453E-23,9.1497E-23,6.1168E-25,6.5442E-25
