lambda_in (m),xAbs1,xabs2,xAbs3,xAbs4
0.0000004,7.84E-23,7.8332E-23,3.941E-23,3.9283E-23
0.000000405,7.7561E-23,7.7494E-23,3.8938E-23,3.881E-23
0.00000041,7.6726E-23,7.6659E-23,3.8522E-23,3.8392E-23
0.000000415,7.5855E-23,7.5787E-23,3.8106E-23,3.7974E-23
0.00000042,7.4922E-23,7.4855E-23,3.7692E-23,3.7559E-23
0.000000425,7.3962E-23,7.3896E-23,3.7308E-23,3.7173E-23
0.00000043,7.3013E-23,7.2948E-23,3.6976E-23,3.684E-23
0.000000435,7.2116E-23,7.2052E-23,3.6827E-23,3.6689E-23
0.00000044,7.1266E-23,7.1203E-23,3.6946E-23,3.6806E-23
0.000000445,7.0433E-23,7.0372E-23,3.7206E-23,3.7063E-23
0.00000045,6.9581E-23,6.9521E-23,3.7466E-23,3.732E-23
0.000000455,6.8606E-23,6.8548E-23,3.7647E-23,3.7499E-23
0.00000046,6.7477E-23,6.7423E-23,3.7827E-23,3.7678E-23
0.000000465,6.6396E-23,6.6346E-23,3.8059E-23,3.7909E-23
0.00000047,6.5568E-23,6.5521E-23,3.8406E-23,3.8254E-23
0.000000475,6.5133E-23,6.5089E-23,3.9058E-23,3.8901E-23
0.00000048,6.5006E-23,6.4964E-23,4.031E-23,4.0146E-23
0.000000485,6.5169E-23,6.513E-23,4.2103E-23,4.1929E-23
0.00000049,6.5618E-23,6.5581E-23,4.4344E-23,4.4157E-23
0.000000495,6.6339E-23,6.6304E-23,4.6913E-23,4.6711E-23
0.0000005,6.7815E-23,6.778E-23,4.9907E-23,4.9683E-23
0.000000505,7.0778E-23,7.0733E-23,5.3294E-23,5.3032E-23
0.00000051,7.4515E-23,7.4448E-23,5.5833E-23,5.5517E-23
0.000000515,7.7646E-23,7.7546E-23,5.6011E-23,5.5636E-23
0.00000052,7.8531E-23,7.8397E-23,5.3382E-23,5.2958E-23
0.000000525,7.6768E-23,7.6608E-23,4.8939E-23,4.8484E-23
0.00000053,7.2705E-23,7.2526E-23,4.3232E-23,4.2759E-23
0.000000535,6.6993E-23,6.6806E-23,3.7169E-23,3.6689E-23
0.00000054,6.068E-23,6.0498E-23,3.1473E-23,3.0993E-23
0.000000545,5.466E-23,5.4495E-23,2.6525E-23,2.605E-23
0.00000055,4.9353E-23,4.9213E-23,2.2419E-23,2.1952E-23
0.000000555,4.4756E-23,4.4646E-23,1.8982E-23,1.8524E-23
0.00000056,4.0837E-23,4.0763E-23,1.6091E-23,1.5643E-23
0.000000565,3.756E-23,3.7527E-23,1.3669E-23,1.3233E-23
0.00000057,3.487E-23,3.4882E-23,1.1646E-23,1.1223E-23
0.000000575,3.2712E-23,3.2773E-23,9.9598E-24,9.552E-24
0.00000058,3.104E-23,3.1153E-23,8.5554E-24,8.1647E-24
0.000000585,2.981E-23,2.9979E-23,7.3843E-24,7.013E-24
0.00000059,2.8944E-23,2.9172E-23,6.3961E-24,6.0467E-24
0.000000595,2.8389E-23,2.8679E-23,5.5618E-24,5.2368E-24
0.0000006,2.8097E-23,2.8448E-23,4.856E-24,4.5575E-24
0.000000605,2.8022E-23,2.8432E-23,4.257E-24,3.9869E-24
0.00000061,2.8114E-23,2.8582E-23,3.7457E-24,3.5055E-24
0.000000615,2.8325E-23,2.8845E-23,3.3071E-24,3.0978E-24
0.00000062,2.8584E-23,2.9151E-23,2.9251E-24,2.7466E-24
0.000000625,2.8819E-23,2.9425E-23,2.5823E-24,2.4342E-24
0.00000063,2.906E-23,2.9697E-23,2.2765E-24,2.1576E-24
0.000000635,2.9357E-23,3.0017E-23,2.0072E-24,1.9157E-24
