lambda_in (m),xAbs1,xAbs2,xAbs3,xAbs4
0.0000004,6.8116E-23,6.8049E-23,3.941E-23,3.9283E-23
0.000000405,6.7384E-23,6.7316E-23,3.8938E-23,3.881E-23
0.00000041,6.665E-23,6.6582E-23,3.8522E-23,3.8392E-23
0.000000415,6.5881E-23,6.5814E-23,3.8106E-23,3.7974E-23
0.00000042,6.5057E-23,6.499E-23,3.7692E-23,3.7559E-23
0.000000425,6.4206E-23,6.4139E-23,3.7308E-23,3.7173E-23
0.00000043,6.3361E-23,6.3295E-23,3.6976E-23,3.684E-23
0.000000435,6.2545E-23,6.2479E-23,3.6827E-23,3.6689E-23
0.00000044,6.1744E-23,6.1679E-23,3.6946E-23,3.6806E-23
0.000000445,6.0942E-23,6.0878E-23,3.7206E-23,3.7063E-23
0.00000045,6.0122E-23,6.0059E-23,3.7466E-23,3.732E-23
0.000000455,5.9202E-23,5.9141E-23,3.7647E-23,3.7499E-23
0.00000046,5.8151E-23,5.8092E-23,3.7827E-23,3.7678E-23
0.000000465,5.7143E-23,5.7086E-23,3.8059E-23,3.7909E-23
0.00000047,5.6347E-23,5.6293E-23,3.8406E-23,3.8254E-23
0.000000475,5.5856E-23,5.5804E-23,3.9058E-23,3.8901E-23
0.00000048,5.5552E-23,5.5501E-23,4.031E-23,4.0146E-23
0.000000485,5.5409E-23,5.5358E-23,4.2103E-23,4.1929E-23
0.00000049,5.5414E-23,5.5364E-23,4.4344E-23,4.4157E-23
0.000000495,5.5553E-23,5.5503E-23,4.6913E-23,4.6711E-23
0.0000005,5.6104E-23,5.605E-23,4.9907E-23,4.9683E-23
0.000000505,5.728E-23,5.7216E-23,5.3294E-23,5.3032E-23
0.00000051,5.8262E-23,5.8182E-23,5.5833E-23,5.5517E-23
0.000000515,5.8078E-23,5.7977E-23,5.6011E-23,5.5636E-23
0.00000052,5.6372E-23,5.6255E-23,5.3382E-23,5.2958E-23
0.000000525,5.3753E-23,5.363E-23,4.8939E-23,4.8484E-23
0.00000053,5.0468E-23,5.0348E-23,4.3232E-23,4.2759E-23
0.000000535,4.703E-23,4.692E-23,3.7169E-23,3.6689E-23
0.00000054,4.3868E-23,4.3778E-23,3.1473E-23,3.0993E-23
0.000000545,4.1188E-23,4.1122E-23,2.6525E-23,2.605E-23
0.00000055,3.8961E-23,3.8923E-23,2.2419E-23,2.1952E-23
0.000000555,3.7122E-23,3.7116E-23,1.8982E-23,1.8524E-23
0.00000056,3.5653E-23,3.5684E-23,1.6091E-23,1.5643E-23
0.000000565,3.4534E-23,3.4605E-23,1.3669E-23,1.3233E-23
0.00000057,3.3753E-23,3.3869E-23,1.1646E-23,1.1223E-23
0.000000575,3.3311E-23,3.3476E-23,9.9598E-24,9.552E-24
0.00000058,3.3224E-23,3.3443E-23,8.5554E-24,8.1647E-24
0.000000585,3.3518E-23,3.3795E-23,7.3843E-24,7.013E-24
0.00000059,3.4175E-23,3.4514E-23,6.3961E-24,6.0467E-24
