lambda_in (m),30-10,30-11,30-12,30-13
0.00000082,1.4703E-22,1.4714E-22,8.357E-25,9.0111E-25
0.000000825,1.262E-22,1.2629E-22,8.1174E-25,8.7545E-25
0.00000083,1.0894E-22,1.0902E-22,7.8754E-25,8.4959E-25
0.000000835,9.4879E-23,9.4947E-23,7.6424E-25,8.2467E-25
0.00000084,8.3419E-23,8.3481E-23,7.4221E-25,8.0108E-25
0.000000845,7.3779E-23,7.3836E-23,7.1987E-25,7.7721E-25
0.00000085,6.5747E-23,6.58E-23,6.9886E-25,7.5472E-25
0.000000855,5.8812E-23,5.8861E-23,6.7766E-25,7.3209E-25
0.00000086,5.2973E-23,5.3019E-23,6.586E-25,7.1165E-25
0.000000865,4.7967E-23,4.8011E-23,6.4049E-25,6.922E-25
0.00000087,4.3725E-23,4.3767E-23,6.2358E-25,6.74E-25
0.000000875,3.9942E-23,3.9982E-23,6.0658E-25,6.5574E-25
0.00000088,3.6695E-23,3.6732E-23,5.9159E-25,6.3954E-25
0.000000885,3.3835E-23,3.3872E-23,5.7754E-25,6.2432E-25
0.00000089,3.1365E-23,3.1401E-23,5.6438E-25,6.1004E-25
0.000000895,2.9169E-23,2.9203E-23,5.5171E-25,5.9628E-25
0.0000009,2.7308E-23,2.7341E-23,5.4128E-25,5.848E-25
0.000000905,2.5659E-23,2.5691E-23,5.3218E-25,5.7469E-25
0.00000091,2.4201E-23,2.4232E-23,5.2434E-25,5.6587E-25
0.000000915,2.2942E-23,2.2973E-23,5.1836E-25,5.5895E-25
0.00000092,2.1793E-23,2.1824E-23,5.1163E-25,5.513E-25
0.000000925,2.0784E-23,2.0814E-23,5.0673E-25,5.4553E-25
0.00000093,1.9867E-23,1.9896E-23,5.024E-25,5.4035E-25
0.000000935,1.9018E-23,1.9047E-23,4.9731E-25,5.3442E-25
0.00000094,1.8248E-23,1.8277E-23,4.9314E-25,5.2945E-25
0.000000945,1.7533E-23,1.7561E-23,4.9008E-25,5.2561E-25
0.00000095,1.6852E-23,1.6879E-23,4.8607E-25,5.2084E-25
0.000000955,1.6234E-23,1.6261E-23,4.8283E-25,5.1687E-25
0.00000096,1.563E-23,1.5656E-23,4.7888E-25,5.1221E-25
0.000000965,1.5078E-23,1.5104E-23,4.7481E-25,5.0743E-25
0.00000097,1.4518E-23,1.4543E-23,4.7126E-25,5.0321E-25
0.000000975,1.4004E-23,1.4029E-23,4.667E-25,4.9799E-25
0.00000098,1.3495E-23,1.3519E-23,4.6189E-25,4.9254E-25
0.000000985,1.3E-23,1.3024E-23,4.5685E-25,4.8687E-25
0.00000099,1.2537E-23,1.2561E-23,4.5186E-25,4.8127E-25
0.000000995,1.2083E-23,1.2105E-23,4.4636E-25,4.7517E-25
0.000001,1.1657E-23,1.168E-23,4.4092E-25,4.6916E-25
