478.1045, 8.0005
478.8131, 8.0015
479.5217, 8.0026
480.2303, 8.0037
480.9388, 8.0047
481.6475, 8.0058
482.3561, 8.0069
483.0646, 8.0079
483.7732, 8.009
484.4803, 8.6753
485.1889, 8.6764
485.8975, 8.6774
486.6061, 8.6785
487.3147, 8.6796
488.0233, 8.6806
488.7319, 8.6817
489.4405, 8.6827
490.1491, 8.6838
490.8577, 8.6848
491.5662, 8.6859
492.2748, 8.687
492.9819, 9.3533
493.6905, 9.3544
494.3991, 9.3554
495.1077, 9.3565
495.8163, 9.3576
496.5249, 9.3586
497.2335, 9.3597
497.9421, 9.3607
498.6507, 9.3618
499.3592, 9.3629
500.0678, 9.3639
500.7764, 9.365
501.4849, 9.366
502.1936, 9.3671
502.9037, 8.7029
503.6122, 8.704
504.3208, 8.705
505.0309, 8.0408
505.7395, 8.0419
506.4496, 7.3776
507.1582, 7.3787
507.8667, 7.3798
508.5753, 7.3808
509.2854, 6.7166
509.994, 6.7177
510.7026, 6.7187
511.4126, 6.0545
512.1212, 6.0556
512.8313, 5.3913
513.5399, 5.3924
514.2485, 5.3935
514.9571, 5.3945
515.6656, 5.3956
516.3757, 4.7314
517.0843, 4.7324
517.7944, 4.0682
518.5029, 4.0693
519.2115, 4.0703
519.9201, 4.0714
520.6301, 3.4072
521.3388, 3.4082
522.0474, 3.4093
522.756, 3.4104
523.4645, 3.4114
524.1731, 3.4125
524.8832, 2.7483
525.5918, 2.7492
526.3018, 2.0851
527.0104, 2.0862
527.7189, 2.0872
528.4291, 1.423
529.1377, 1.4241
529.8463, 1.4251
530.5563, 0.7609
531.2649, 0.762
531.9735, 0.763
532.6821, 0.7641
532.6836, 0.0988
533.3921, 0.0999
534.1022, -0.5643
534.8108, -0.5633
535.5194, -0.5622
536.228, -0.5612
536.9365, -0.5601
537.6465, -1.2243
538.3552, -1.2233
539.0653, -1.8875
539.7739, -1.8864
540.4825, -1.8853
541.1911, -1.8843
541.9011, -2.5485
542.6097, -2.5474
543.3183, -2.5464
544.0269, -2.5453
544.7355, -2.5443
545.4455, -3.2085
546.1541, -3.2074
546.8641, -3.8716
547.5728, -3.8706
548.2828, -4.5348
548.9914, -4.5337
549.7, -4.5327
550.4086, -4.5316
551.1187, -5.1958
551.8273, -5.1948
552.5373, -5.859
553.2459, -5.8578
553.9545, -5.8569
554.6646, -6.5211
555.3732, -6.52
556.0832, -7.1842
556.7933, -7.8485
557.5019, -7.8474
558.2105, -7.8463
558.9205, -8.5106
559.6291, -8.5095
560.3392, -9.1737
561.0492, -9.8378
561.7578, -9.8369
562.4664, -9.8357
563.175, -9.8347
563.8851, -10.499
564.5937, -10.4979
565.3023, -10.4968
566.0108, -10.4958
566.7208, -11.16
567.4295, -11.1589
568.1396, -11.8232
568.8481, -11.8221
569.5567, -11.821
570.2668, -12.4853
570.9754, -12.4842
571.6854, -13.1484
572.3955, -13.8126
573.1041, -13.8115
573.8127, -13.8105
574.5228, -14.4747
575.2313, -14.4737
575.9399, -14.4726
576.6484, -14.4715
577.3586, -15.1358
578.0672, -15.1347
578.7772, -15.7989
579.4858, -15.7979
580.1944, -15.7968
580.903, -15.7957
581.6116, -15.7947
582.3216, -16.4588
583.0302, -16.4578
583.7388, -16.4567
584.4474, -16.4557
585.156, -16.4546
585.8646, -16.4536
586.5732, -16.4525
587.2818, -16.4515
587.9904, -16.4504
588.6989, -16.4493
589.4075, -16.4483
590.1176, -17.1125
590.8262, -17.1114
590.8277, -17.7767
591.5363, -17.7757
592.2449, -17.7746
592.9534, -17.7734
593.662, -17.7725
594.3706, -17.7713
595.0792, -17.7704
595.7877, -17.7692
596.4964, -17.7682
597.205, -17.7671
597.9121, -17.1008
598.6207, -17.0998
599.3293, -17.0987
600.0379, -17.0977
600.745, -16.4313
601.4536, -16.4303
602.1622, -16.4292
602.8693, -15.7629
603.5779, -15.7618
604.285, -15.0955
604.9936, -15.0944
605.7022, -15.0933
606.4093, -14.427
607.1179, -14.4259
607.8265, -14.4249
608.5335, -13.7585
609.2407, -13.0922
609.9478, -12.4259
610.6564, -12.4248
611.365, -12.4237
612.0735, -12.4227
612.7807, -11.7563
613.4878, -11.09
614.1964, -11.0889
614.905, -11.0879
615.6136, -11.0868
616.3207, -10.4205
617.0293, -10.4194
617.7379, -10.4184
618.4465, -10.4173
619.155, -10.4162
619.8636, -10.4152
620.5722, -10.4141
621.2808, -10.4131
621.9893, -10.412
622.698, -10.4109
623.4066, -10.4099
624.1152, -10.4088
624.8237, -10.4077
625.5323, -10.4067
626.2409, -10.4056
626.9495, -10.4046
627.6566, -9.7382
628.3652, -9.7372
629.0723, -9.0708
629.7809, -9.0698
630.4895, -9.0687
631.1966, -8.4024
631.9052, -8.4013
632.6138, -8.4002
633.3209, -7.7339
634.0281, -7.0676
634.7366, -7.0665
635.4438, -6.4002
636.1522, -6.3991
636.8609, -6.398
637.5681, -5.7317
638.2766, -5.7306
638.9838, -5.0643
639.6923, -5.0632
640.4009, -5.0622
641.1095, -5.0611
641.8181, -5.0601
642.5267, -5.059
643.2353, -5.0579
643.9439, -5.0569
644.6524, -5.0558
645.3596, -4.3895
646.0682, -4.3884
646.7768, -4.3874
647.4854, -4.3862
648.1939, -4.3852
648.9011, -3.7189
649.6082, -3.0526
650.3168, -3.0515
